title,RefinableString01,AssuntoNormativoOWSMTXT,ResponsavelOWSText,listItemId,TipodoNormativoOWSCHCS,NumeroOWSNMBR,RevogadoOWSBOOL,HitHighlightedSummary,CanceladoOWSBOOL,data,RefinableString03,RowNumber
Comunicado N° 42.141,17/9/2024 09:23,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132502,Comunicado,42141,0,Instituição Cooperativa de Economia e Crédito Mútuo Unicred Coalizão Ltda. - Unicred  Instituição Cooperativa de Crédito do Planalto Sul - Sicoob Credisserrana (CNPJ 03.033.469  ,0,2024-09-17T12:23:36Z,17/9/2024 09:23,0
Comunicado N° 42.136,16/9/2024 09:32,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132497,Comunicado,42136,0,Instituição Cooperativa de Crédito Credinosso Ltda. - Sicoob Credinosso (CNPJ 06.324.872  Instituição Cooperativa de Crédito Unicred Valor Capital Ltda. - Unicred Valor Capital  ,0,2024-09-16T12:32:09Z,16/9/2024 09:32,1
Comunicado N° 42.130,13/9/2024 09:59,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132491,Comunicado,42130,0,Instituição Confederação Nacional das Cooperativas Centrais Unicred Ltda. - Unicred do  Instituição Cooperativa de Crédito de Livre Admissão do Centro-Norte Brasileiro (CNPJ  ,0,2024-09-13T12:59:18Z,13/9/2024 09:59,2
Comunicado N° 42.123,12/9/2024 10:08,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132484,Comunicado,42123,0,Instituição Cooperativa Central de Crédito do Estado de São Paulo - Sicoob São Paulo (CNPJ  Instituição Cooperativa de Crédito de Livre Admissão do Vale do São Patrício Ltda. (CNPJ  ,0,2024-09-12T13:08:46Z,12/9/2024 10:08,3
Instrução Normativa BCB N° 521,11/9/2024 10:52,"Altera a Carta Circular nº 3.853, de 19 de dezembro de 2017, que detalha as rubricas contábeis a serem utilizadas no cálculo da parcela dos ativos ponderados pelo risco na forma simplificada referentes às exposições ao risco de crédito sujeitas à apuração do requerimento mínimo de capital mediante abordagem padronizada simplificada (RWARCSimp).
",DEREG,52390,Instrução Normativa BCB,521,0,"referentes às exposições ao risco de crédito sujeitas à apuração do requerimento mínimo de  1º, incisos III-A e XV, “c  XV - valores de crédito contratados a liberar, que correspondem  ",0,2024-09-11T13:52:00Z,11/9/2024 10:52,4
Resolução CMN N° 5.172,9/9/2024 18:40,"Altera a Resolução CMN nº 5.140, de 5 de junho de 2024, que estabelece as condições, os encargos financeiros, os prazos e as demais normas regulamentadoras das linhas de financiamento disponibilizadas com recursos do superávit financeiro do Fundo Social. ",MF,52389,Resolução CMN,5172,0,"9º da Lei nº
4.595, de  perdida, não tenha sido comercializada pelas cooperativas ou não
tenha sido entregue pelos associados à cooperativa em decorrência das enchentes,
alagamentos  ",0,2024-09-09T21:40:00Z,9/9/2024 18:40,5
Comunicado N° 42.105,9/9/2024 09:25,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132467,Comunicado,42105,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Crédito de Livre Admissão do Vale do Aço Ltda. - Sicoob Vale do  ,0,2024-09-09T12:25:15Z,9/9/2024 09:25,6
Comunicado N° 42.098,6/9/2024 08:20,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132460,Comunicado,42098,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais  Instituição Cooperativa de Economia e Crédito Mútuo dos Funcionários da Sanepar  ,0,2024-09-06T11:20:52Z,6/9/2024 08:20,7
Comunicado N° 42.095,5/9/2024 09:24,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132457,Comunicado,42095,0,Instituição Cooperativa de Crédito Rural de São Miguel do Oeste - Sulcredi/São Miguel  Instituição Cooperativa de Crédito Sicoob Coopemar Ltda.  (CNPJ 04.174.720  ,0,2024-09-05T12:24:09Z,5/9/2024 09:24,8
Comunicado N° 42.087,4/9/2024 09:18,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132449,Comunicado,42087,0,Instituição Cooperativa de Crédito Crediguaçu - Sicoob Crediguaçu (CNPJ 67.960.229  Instituição Cooperativa de Crédito e Investimento com Interação Solidária Alternativa  ,0,2024-09-04T12:18:12Z,4/9/2024 09:18,9
